TrialType,choice2,choice1,preRating,rating,ratingDiff,choseFor,pcResponse
8,..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,3,1.439356,NaN,NaN,2,1
4,..\..\JOCN-master\task a\images\keebler_chips delux_cookies_crackers.jpg,3,1.439356,NaN,NaN,1,1
1,..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,2,-0.855158,-1.553049,-0.697891,1,1
6,..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,6,1.439356,-1.553049,-2.992405,2,1
1,..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,6,-0.090320,0.398426,0.488746,1,0
2,..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,12,0.674518,-0.577311,-1.251829,1,0
2,..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg,3,1.439356,0.398426,-1.040930,1,0
7,..\..\JOCN-master\task a\images\starburst_orignal_candy.jpg,6,1.056937,NaN,NaN,2,1
1,..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,6,-0.855158,-1.553049,-0.697891,1,1
4,..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg,2,1.439356,NaN,NaN,1,1
5,..\..\JOCN-master\task a\images\kitkat_crisp wafers_milk choc.jpg,3,-0.855158,0.398426,1.253584,2,0
2,..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg,6,1.439356,0.398426,-1.040930,1,0
1,..\..\JOCN-master\task a\images\nabisco_teddy graham_honey.jpg,3,-0.472739,-1.553049,-1.080310,1,0
5,..\..\JOCN-master\task a\images\sunchips_harvest cheddar_chips.jpg,2,-0.855158,-3.504523,-2.649365,2,1
5,..\..\JOCN-master\task a\images\famous_amos_chocolate_chip.jpg,6,-0.855158,0.398426,1.253584,2,0
2,..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg,3,1.439356,0.398426,-1.040930,1,0
8,..\..\JOCN-master\task a\images\keebler_chips delux_cookies_crackers.jpg,6,-0.472739,NaN,NaN,2,1
1,..\..\JOCN-master\task a\images\famous_amos_chocolate_chip.jpg,3,-0.855158,0.398426,1.253584,1,0
6,..\..\JOCN-master\task a\images\skittles_sour_candy.jpg,12,0.292099,0.398426,0.106327,2,0
2,..\..\JOCN-master\task a\images\m&m's_milk_chocholate.jpg,3,1.056937,0.398426,-0.658511,1,0
8,..\..\JOCN-master\task a\images\snickers_almond_bar.jpg,6,1.439356,NaN,NaN,2,1
8,..\..\JOCN-master\task a\images\chips_ahoy_thin_crisps.jpg,6,-0.855158,NaN,NaN,2,1
3,..\..\JOCN-master\task a\images\cheez itz_original.jpg,2,-0.855158,NaN,NaN,1,1
2,..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,3,1.439356,0.398426,-1.040930,1,0
1,..\..\JOCN-master\task a\images\kitkat_crisp wafers_milk choc.jpg,2,-0.855158,0.398426,1.253584,1,0
2,..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg,12,-0.855158,0.398426,1.253584,1,0
1,..\..\JOCN-master\task a\images\doritos_cool ranch_chips.jpg,3,-0.855158,-0.577311,0.277847,1,0
2,..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg,12,-0.855158,0.398426,1.253584,1,0
6,..\..\JOCN-master\task a\images\oreo_thin_crisps.jpg,2,-0.855158,-3.504523,-2.649365,2,1
6,..\..\JOCN-master\task a\images\famous_amos_chocolate_chip.jpg,2,-0.855158,0.398426,1.253584,2,0
3,..\..\JOCN-master\task a\images\skittles_sour_candy.jpg,6,-0.855158,NaN,NaN,1,1
1,..\..\JOCN-master\task a\images\skittles_sour_candy.jpg,12,1.056937,0.398426,-0.658511,1,0
7,..\..\JOCN-master\task a\images\fiber one_chocolate fudge_ brownie.jpg,3,1.056937,NaN,NaN,2,1
1,..\..\JOCN-master\task a\images\welch's_white_grape_raspberry.jpg,12,1.056937,-0.577311,-1.634248,1,0
1,..\..\JOCN-master\task a\images\nutrigrain_strawberry_bar.jpg,2,0.674518,-0.577311,-1.251829,1,1
1,..\..\JOCN-master\task a\images\pringles_sour cream and onion_potato crisps.jpg,12,-0.855158,0.398426,1.253584,1,0
5,..\..\JOCN-master\task a\images\welch's_mixed fruit_fruit snacks.jpg,3,-0.855158,0.398426,1.253584,2,0
4,..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg,12,-0.855158,NaN,NaN,1,1
1,..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg,2,-0.855158,0.398426,1.253584,1,0
6,..\..\JOCN-master\task a\images\cheez itz_original.jpg,6,-0.855158,0.398426,1.253584,2,0
1,..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg,12,-0.855158,0.398426,1.253584,1,0
2,..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg,12,1.439356,0.398426,-1.040930,1,0
2,..\..\JOCN-master\task a\images\austin_peanut butter_cheese cracker.jpg,3,-0.855158,0.398426,1.253584,1,0
2,..\..\JOCN-master\task a\images\chips_ahoy_thin_crisps.jpg,3,1.439356,-1.553049,-2.992405,1,0
5,..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg,12,1.439356,0.398426,-1.040930,2,0
6,..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg,6,1.439356,0.398426,-1.040930,2,0
2,..\..\JOCN-master\task a\images\pringles_sour cream and onion_potato crisps.jpg,12,-0.855158,0.398426,1.253584,1,0
7,..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,2,-0.855158,NaN,NaN,2,1
2,..\..\JOCN-master\task a\images\skittles_darkside_candy.jpg,12,-0.855158,0.398426,1.253584,1,0
2,..\..\JOCN-master\task a\images\welch's_tropical_fruits.jpg,2,1.439356,-0.577311,-2.016667,1,0
7,..\..\JOCN-master\task a\images\sun chips_garden salsa_chips.jpg,6,-0.855158,NaN,NaN,2,1
7,..\..\JOCN-master\task a\images\oreo_thin_crisps.jpg,12,-0.855158,NaN,NaN,2,1
6,..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg,12,-0.855158,0.398426,1.253584,2,0
4,..\..\JOCN-master\task a\images\sun chips_french onion_chips.jpg,6,0.292099,NaN,NaN,1,1
6,..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,6,-0.855158,0.398426,1.253584,2,0
5,..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg,6,-0.855158,0.398426,1.253584,2,0
3,..\..\JOCN-master\task a\images\sun chips_original_chips.jpg,6,-0.855158,NaN,NaN,1,1
6,..\..\JOCN-master\task a\images\skittles_sour_candy.jpg,6,-0.855158,0.398426,1.253584,2,0
