TrialType,choice2,choice1,preRating,rating,ratingDiff,choseFor,pcResponse
7,..\..\JOCN-master\task a\images\keebler_cheese_and_peanut_butter.jpg,2,0.183549,NaN,NaN,2,1
7,..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,6,-0.256526,NaN,NaN,2,1
1,..\..\JOCN-master\task a\images\kitkat_crisp wafers_milk choc.jpg,3,1.063697,0.353958,-0.709739,1,0
5,..\..\JOCN-master\task a\images\keebler_cheese_and_peanut_butter.jpg,3,0.623623,-2.913350,-3.536973,2,1
1,..\..\JOCN-master\task a\images\quaker_chewy_chocolate chip.jpg,12,1.503772,0.353958,-1.149814,1,0
8,..\..\JOCN-master\task a\images\pringles_sour cream and onion_potato crisps.jpg,2,1.063697,NaN,NaN,2,1
3,..\..\JOCN-master\task a\images\barnum's_animal_crackers.jpg,3,1.503772,NaN,NaN,1,1
2,..\..\JOCN-master\task a\images\m&m's_milk_chocholate.jpg,12,1.063697,0.353958,-0.709739,1,0
2,..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg,12,-0.696600,0.353958,1.050558,1,0
3,..\..\JOCN-master\task a\images\baked_lays_barbeque.jpg,12,-0.696600,NaN,NaN,1,1
6,..\..\JOCN-master\task a\images\starburst_favereds_candy.jpg,12,0.623623,-4.002453,-4.626076,2,0
6,..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,2,0.183549,-2.913350,-3.096899,2,0
1,..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,12,-1.136674,0.353958,1.490632,1,0
7,..\..\JOCN-master\task a\images\m&m's_peanut.jpg,2,0.183549,NaN,NaN,2,1
4,..\..\JOCN-master\task a\images\pringles_the original_potato crisps.jpg,3,0.623623,NaN,NaN,1,1
6,..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg,12,-0.256526,-1.824247,-1.567721,2,0
6,..\..\JOCN-master\task a\images\nuture valley_crunchy_bar.jpg,6,1.503772,-1.824247,-3.328019,2,0
6,..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg,12,-1.136674,-2.913350,-1.776676,2,0
8,..\..\JOCN-master\task a\images\baked_lays_sour cream and onion.jpg,2,-1.136674,NaN,NaN,2,1
4,..\..\JOCN-master\task a\images\nabisco_nutter butter_cookies and crackers.jpg,3,0.183549,NaN,NaN,1,1
3,..\..\JOCN-master\task a\images\starburst_orignal_candy.jpg,2,-1.136674,NaN,NaN,1,1
3,..\..\JOCN-master\task a\images\nabisco_mini_ritz.jpg,3,-0.256526,NaN,NaN,1,1
1,..\..\JOCN-master\task a\images\fiber one_chocolate fudge_ brownie.jpg,3,-1.136674,-2.913350,-1.776676,1,0
5,..\..\JOCN-master\task a\images\doritos_nacho cheesier_chips.jpg,3,-0.256526,-0.735144,-0.478618,2,0
5,..\..\JOCN-master\task a\images\quaker_chewy_chocolate chip.jpg,3,0.183549,0.353958,0.170409,2,0
7,..\..\JOCN-master\task a\images\belvita_golden_oats.JPG,2,-0.256526,NaN,NaN,2,1
7,..\..\JOCN-master\task a\images\belvita_blueberry.JPG,3,-1.136674,NaN,NaN,2,1
7,..\..\JOCN-master\task a\images\fiber one_oats and choc_chewy bar.jpg,2,-1.136674,NaN,NaN,2,1
1,..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg,6,-0.256526,-0.735144,-0.478618,1,0
6,..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,6,0.183549,-2.913350,-3.096899,2,0
7,..\..\JOCN-master\task a\images\welch's_mixed fruit_fruit snacks.jpg,3,1.503772,NaN,NaN,2,1
3,..\..\JOCN-master\task a\images\nutrigrain_apple cinnamon_bar.jpg,3,-0.256526,NaN,NaN,1,1
7,..\..\JOCN-master\task a\images\doritos_cool ranch_chips.jpg,2,-0.696600,NaN,NaN,2,1
4,..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,3,1.503772,NaN,NaN,1,1
8,..\..\JOCN-master\task a\images\welch's_mixed fruit_fruit snacks.jpg,2,-1.136674,NaN,NaN,2,1
8,..\..\JOCN-master\task a\images\sun chips_garden salsa_chips.jpg,2,1.503772,NaN,NaN,2,1
5,..\..\JOCN-master\task a\images\m&m's_milk_chocholate.jpg,12,0.623623,0.353958,-0.269665,2,0
7,..\..\JOCN-master\task a\images\baked_cheetos_crunchy.jpg,6,-0.696600,NaN,NaN,2,1
4,..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg,2,0.183549,NaN,NaN,1,1
8,..\..\JOCN-master\task a\images\3 musketeers_candy bar.jpg,2,-0.696600,NaN,NaN,2,1
8,..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,6,-0.256526,NaN,NaN,2,1
5,..\..\JOCN-master\task a\images\cheez-it_white_cheddar.JPG,6,1.503772,0.353958,-1.149814,2,0
7,..\..\JOCN-master\task a\images\keebler_chips_deluxe.jpg,6,0.623623,NaN,NaN,2,1
8,..\..\JOCN-master\task a\images\m&m's_peanut.jpg,6,-0.256526,NaN,NaN,2,1
