snackName,rating,choseFor,pcResponse
..\..\JOCN-master\task a\images\nestle_butterfinger_cups.jpg,-0.279876,2,1
$1.75,NaN,1,1
..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg,-1.282415,1,1
..\..\JOCN-master\task a\images\garden_veggie straws_cheddar.jpg,1.223934,2,0
..\..\JOCN-master\task a\images\jacklinks_beef_stick.jpg,1.223934,2,0
$1.0,NaN,2,1
..\..\JOCN-master\task a\images\starburst_favereds_candy.jpg,1.223934,1,0
$1.75,NaN,1,1
..\..\JOCN-master\task a\images\welch's_tropical_fruits.jpg,NaN,1,1
1.0,-0.279876,1,1
..\..\JOCN-master\task a\images\quaker_chewy_peanut butter choc chip.jpg,0.722664,2,0
$1.75,NaN,2,1
..\..\JOCN-master\task a\images\nature valley_oats and honey_crunchy.jpg,NaN,2,1
..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,1.223934,2,0
..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,1.223934,1,0
..\..\JOCN-master\task a\images\cliff_chocolate chip_bar.jpg,-0.781145,2,0
..\..\JOCN-master\task a\images\clif_z_bar.jpg,1.223934,2,1
..\..\JOCN-master\task a\images\wheat_thins.jpg,1.223934,2,0
$1.5,0.722664,1,1
..\..\JOCN-master\task a\images\barnum's_animal_crackers.jpg,0.722664,2,1
..\..\JOCN-master\task a\images\krave_jerky_chili_lime.jpg,-0.781145,2,0
..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,1.223934,1,0
0.75,-0.279876,1,1
$1.0,NaN,2,1
..\..\JOCN-master\task a\images\chex mix_original_traditional.jpg,0.221394,2,0
..\..\JOCN-master\task a\images\belvita_golden_oats.JPG,NaN,1,1
..\..\JOCN-master\task a\images\keebler_cheese_and_peanut_butter.jpg,0.722664,1,0
..\..\JOCN-master\task a\images\pringles_cheddar_potato crisps.jpg,0.722664,1,1
0.75,-0.279876,2,1
$1.5,NaN,2,1
$1.75,NaN,1,1
..\..\JOCN-master\task a\images\poptarts_strawberry_frosted.jpg,0.221394,1,1
..\..\JOCN-master\task a\images\welch's_mixed fruit_fruit snacks.jpg,-1.783685,1,1
1.0,-0.781145,2,1
..\..\JOCN-master\task a\images\sun chips_garden salsa_chips.jpg,0.221394,2,1
1.0,1.223934,1,1
..\..\JOCN-master\task a\images\larabar_cashew_cookie_bar.jpg,NaN,1,1
