snackName,rating,choseFor,pcResponse
$1.0,NaN,2,1
..\..\JOCN-master\task a\images\sunchips_harvest cheddar_chips.jpg,1.056059,2,1
$1.75,0.182079,1,0
$1.75,1.056059,1,0
..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg,1.056059,2,0
..\..\JOCN-master\task a\images\mini_fudge_stripes.jpg,NaN,2,1
$0.75,NaN,1,1
..\..\JOCN-master\task a\images\starburst_orignal_candy.jpg,NaN,1,1
..\..\JOCN-master\task a\images\cheez itz_original.jpg,-3.313840,1,1
$1.5,NaN,2,1
..\..\JOCN-master\task a\images\belvita_golden_oats.JPG,NaN,2,1
$1.5,NaN,2,1
$1.75,NaN,1,1
..\..\JOCN-master\task a\images\popchips_barbeque.jpg,1.056059,1,0
..\..\JOCN-master\task a\images\sunchips_harvest cheddar_chips.jpg,NaN,2,1
..\..\JOCN-master\task a\images\chips_ahoy_thin_crisps.jpg,-0.691901,2,0
..\..\JOCN-master\task a\images\doritos_cool ranch_chips.jpg,NaN,2,1
$1.25,-0.691901,2,0
..\..\JOCN-master\task a\images\hersheys_milk choc_almond.jpg,NaN,1,1
$1.75,1.056059,2,0
..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg,1.056059,1,0
$0.5,NaN,1,1
$1.5,-0.691901,2,0
$1.75,0.182079,2,0
..\..\JOCN-master\task a\images\poptarts_strawberry_frosted.jpg,NaN,1,1
..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,1.056059,2,0
$0.75,NaN,1,1
..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg,NaN,1,1
..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg,NaN,1,1
$1.75,0.182079,2,0
..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg,0.182079,1,0
..\..\JOCN-master\task a\images\krave_jerky_original.jpg,1.056059,1,0
..\..\JOCN-master\task a\images\jacklinks_beef_jerky_original.jpg,1.056059,2,0
$1.75,0.182079,1,0
$1.75,0.182079,2,0
..\..\JOCN-master\task a\images\skinny_pop_popcorn.jpg,1.056059,2,0
..\..\JOCN-master\task a\images\oreo_thin_crisps.jpg,NaN,1,1
$1.25,NaN,2,1
..\..\JOCN-master\task a\images\baked_cheetos_crunchy.jpg,0.182079,1,0
..\..\JOCN-master\task a\images\welch's_berry.jpg,NaN,2,1
..\..\JOCN-master\task a\images\kettle_salt_vinegar.jpg,NaN,2,1
$1.75,0.182079,2,0
..\..\JOCN-master\task a\images\doritos_nacho cheesier_chips.jpg,0.182079,2,1
..\..\JOCN-master\task a\images\jacklinks_beef_jerky_original.jpg,NaN,2,1
..\..\JOCN-master\task a\images\doritos_nacho cheesier_chips.jpg,NaN,2,1
..\..\JOCN-master\task a\images\pringles_the original_potato crisps.jpg,1.056059,2,0
$1.75,-0.691901,1,0
..\..\JOCN-master\task a\images\baked_lays_classic.jpg,-0.691901,1,0
..\..\JOCN-master\task a\images\pringles_the original_potato crisps.jpg,0.182079,2,0
$1.75,0.182079,1,0
..\..\JOCN-master\task a\images\kettle_salt_pepper.jpg,0.182079,1,0
..\..\JOCN-master\task a\images\krave_jerky_original.jpg,1.056059,1,0
..\..\JOCN-master\task a\images\krave_jerky_sweet_chipotle.jpg,NaN,1,1
..\..\JOCN-master\task a\images\nuture valley_crunchy_bar.jpg,NaN,1,1
$1.75,0.182079,1,0
$1.0,NaN,1,1
..\..\JOCN-master\task a\images\kettle_salt_vinegar.jpg,1.056059,1,0
..\..\JOCN-master\task a\images\skinny_pop_popcorn.jpg,1.056059,1,0
$1.75,0.182079,2,0
$1.75,0.182079,1,0
..\..\JOCN-master\task a\images\jacklinks_beef_steak.jpg,-0.691901,1,1
..\..\JOCN-master\task a\images\jacklinks_beef_jerky_original.jpg,1.056059,2,0
$1.75,0.182079,2,0
..\..\JOCN-master\task a\images\lays_kc masterpiece_barbecue chips.jpg,0.182079,2,0
$1.25,NaN,1,1
$1.75,0.182079,1,0
..\..\JOCN-master\task a\images\clif_z_bar.jpg,NaN,2,1
..\..\JOCN-master\task a\images\krave_jerky_original.jpg,1.056059,1,0
..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg,1.056059,1,0
$1.75,NaN,1,1
..\..\JOCN-master\task a\images\kettle_original.jpg,-0.691901,1,0
$1.5,NaN,1,1
..\..\JOCN-master\task a\images\belvita_golden_oats.JPG,NaN,1,1
..\..\JOCN-master\task a\images\krave_jerky_original.jpg,1.056059,2,0
..\..\JOCN-master\task a\images\skinny_pop_popcorn.jpg,1.056059,1,0
..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg,NaN,1,1
..\..\JOCN-master\task a\images\quaker_chewy_chocolate chip.jpg,-4.187820,1,1
$1.75,0.182079,2,0
$1.5,0.182079,2,0
$1.75,0.182079,2,0
..\..\JOCN-master\task a\images\skinny_pop_popcorn.jpg,1.056059,1,0
$1.0,-0.691901,2,0
..\..\JOCN-master\task a\images\doritos_cool ranch_chips.jpg,1.056059,2,0
$1.0,NaN,2,1
..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg,NaN,1,1
$0.75,NaN,1,1
$1.75,0.182079,1,0
$1.5,NaN,2,1
..\..\JOCN-master\task a\images\jacklinks_beef_steak.jpg,1.056059,2,0
..\..\JOCN-master\task a\images\popchips_ridges_tangy_bbq.jpg,0.182079,2,0
$1.75,NaN,1,1
..\..\JOCN-master\task a\images\sun chips_garden salsa_chips.jpg,NaN,2,1
$1.75,0.182079,1,0
..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,NaN,2,1
..\..\JOCN-master\task a\images\jacklinks_beef_steak.jpg,1.056059,1,0
..\..\JOCN-master\task a\images\popchips_ridges_perfectly_salted.jpg,NaN,1,1
$1.75,0.182079,2,0
$1.25,NaN,1,1
..\..\JOCN-master\task a\images\krave_jerky_original.jpg,1.056059,1,0
$1.75,0.182079,2,0
$1.75,NaN,2,1
