snackName,rating,choseFor,pcResponse
..\..\JOCN-master\task a\images\slim_jim.jpg,1.268886,2,1
..\..\JOCN-master\task a\images\cliff_chocolate chip_bar.jpg,-0.666703,2,1
..\..\JOCN-master\task a\images\nestle_babyruth_bar.jpg,NaN,1,1
$1.75,-0.021507,2,1
..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,NaN,2,1
..\..\JOCN-master\task a\images\lays_classic_potato chips.jpg,NaN,1,1
..\..\JOCN-master\task a\images\skittles_sour_candy.jpg,-0.021507,2,0
..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg,-1.311899,1,1
$1.75,-0.666703,2,0
..\..\JOCN-master\task a\images\planters_salted_peanuts.jpg,-0.666703,2,0
$1.5,-0.021507,1,0
..\..\JOCN-master\task a\images\milkyway_orginal_candy.jpg,-0.021507,1,1
$1.5,NaN,2,1
..\..\JOCN-master\task a\images\welch's_white_grape_raspberry.jpg,-1.957095,1,0
..\..\JOCN-master\task a\images\twix_milk chocolate_cookie bars.jpg,1.268886,2,1
$1.25,NaN,2,1
..\..\JOCN-master\task a\images\kitkat_crisp wafers_milk choc.jpg,1.914082,1,0
$1.5,0.623690,1,0
$1.5,NaN,2,1
$1.25,1.268886,2,1
$1.25,NaN,2,1
..\..\JOCN-master\task a\images\emerald_sriracha_cashews.jpg,-1.957095,2,0
..\..\JOCN-master\task a\images\emerald_sriracha_cashews.jpg,NaN,1,1
$1.5,1.914082,2,1
..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg,-0.021507,2,0
..\..\JOCN-master\task a\images\m&m's_peanut_butter.jpg,-0.666703,1,1
$1.0,NaN,2,1
..\..\JOCN-master\task a\images\belvita_blueberry.JPG,NaN,1,1
$1.75,-0.666703,2,0
..\..\JOCN-master\task a\images\cliff_chocolate chip_bar.jpg,NaN,1,1
..\..\JOCN-master\task a\images\3 musketeers_candy bar.jpg,1.914082,1,0
$1.25,NaN,1,1
$1.5,-0.021507,1,1
..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg,1.268886,2,1
$1.75,-0.666703,2,0
..\..\JOCN-master\task a\images\hersheys_milk choc_almond.jpg,0.623690,1,1
..\..\JOCN-master\task a\images\nestle_babyruth_bar.jpg,1.268886,1,0
..\..\JOCN-master\task a\images\nestle_babyruth_bar.jpg,-0.021507,2,0
..\..\JOCN-master\task a\images\m&m's_milk_chocholate.jpg,NaN,2,1
..\..\JOCN-master\task a\images\welch's_mixed fruit_fruit snacks.jpg,NaN,2,1
..\..\JOCN-master\task a\images\grandmas_chocolate chip_cookies.jpg,-0.021507,2,0
..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg,-0.021507,1,0
..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg,-0.021507,1,0
..\..\JOCN-master\task a\images\fiber one_lemon_ bar.jpg,NaN,2,1
$1.75,0.623690,1,0
..\..\JOCN-master\task a\images\nuture valley_crunchy_bar.jpg,NaN,2,1
..\..\JOCN-master\task a\images\poptarts_brown_sugar.jpg,-1.311899,2,1
..\..\JOCN-master\task a\images\twix_milk chocolate_cookie bars.jpg,-0.021507,2,0
..\..\JOCN-master\task a\images\slim_jim.jpg,-1.311899,2,0
$1.75,-1.311899,1,0
..\..\JOCN-master\task a\images\planters_honey roasted_peanuts.jpg,NaN,2,1
$1.75,-0.021507,2,0
..\..\JOCN-master\task a\images\nutrigrain_strawberry_bar.jpg,-0.021507,2,0
$1.5,NaN,1,1
$1.75,-0.021507,1,0
$0.75,NaN,2,1
..\..\JOCN-master\task a\images\sun chips_original_chips.jpg,NaN,1,1
0.75,-1.957095,1,1
..\..\JOCN-master\task a\images\grandmas_chocolate chip_cookies.jpg,NaN,2,1
..\..\JOCN-master\task a\images\twix_milk chocolate_cookie bars.jpg,-0.666703,2,1
..\..\JOCN-master\task a\images\cheez itz_original.jpg,1.914082,1,1
..\..\JOCN-master\task a\images\lays_classic_potato chips.jpg,NaN,2,1
..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,-0.021507,1,0
..\..\JOCN-master\task a\images\grandmas_chocolate chip_cookies.jpg,-0.666703,1,0
$1.75,-0.021507,1,0
..\..\JOCN-master\task a\images\nutrigrain_strawberry_bar.jpg,0.623690,2,0
$1.0,NaN,1,1
..\..\JOCN-master\task a\images\lays_classic_potato chips.jpg,1.914082,1,1
..\..\JOCN-master\task a\images\3 musketeers_candy bar.jpg,-0.021507,2,0
$1.75,-0.021507,1,0
..\..\JOCN-master\task a\images\fritos_original_corn chips.jpg,NaN,1,1
..\..\JOCN-master\task a\images\3 musketeers_candy bar.jpg,-0.666703,2,0
$0.75,NaN,1,1
$1.75,-0.666703,1,0
..\..\JOCN-master\task a\images\garden_veggie straws_sea salt.jpg,NaN,2,1
..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,-0.021507,1,1
$1.5,-1.957095,2,0
..\..\JOCN-master\task a\images\3 musketeers_candy bar.jpg,-0.021507,1,0
..\..\JOCN-master\task a\images\3 musketeers_candy bar.jpg,0.623690,2,0
..\..\JOCN-master\task a\images\nestle_babyruth_bar.jpg,-0.021507,2,0
..\..\JOCN-master\task a\images\nutrigrain_apple cinnamon_bar.jpg,0.623690,1,1
..\..\JOCN-master\task a\images\m&m's_milk_chocholate.jpg,1.268886,2,0
