snackName,rating,choseFor,pcResponse
..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,NaN,2,1
..\..\JOCN-master\task a\images\keebler_chips delux_cookies_crackers.jpg,NaN,1,1
$1.0,NaN,2,1
..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,-1.553049,1,1
..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,-1.553049,2,1
..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,0.398426,1,0
..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,-0.577311,1,0
$1.5,0.398426,2,0
..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg,0.398426,1,0
$1.5,NaN,2,1
..\..\JOCN-master\task a\images\starburst_orignal_candy.jpg,NaN,2,1
..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,-1.553049,1,1
..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg,NaN,1,1
..\..\JOCN-master\task a\images\kitkat_crisp wafers_milk choc.jpg,0.398426,2,0
$1.0,NaN,2,1
..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg,0.398426,1,0
..\..\JOCN-master\task a\images\nabisco_teddy graham_honey.jpg,-1.553049,1,0
$1.0,NaN,2,1
..\..\JOCN-master\task a\images\sunchips_harvest cheddar_chips.jpg,-3.504523,2,1
$1.75,0.398426,1,0
..\..\JOCN-master\task a\images\famous_amos_chocolate_chip.jpg,0.398426,2,0
..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg,0.398426,1,0
..\..\JOCN-master\task a\images\keebler_chips delux_cookies_crackers.jpg,NaN,2,1
$1.75,NaN,1,1
$0.75,NaN,1,1
..\..\JOCN-master\task a\images\famous_amos_chocolate_chip.jpg,0.398426,1,0
$0.5,NaN,1,1
..\..\JOCN-master\task a\images\skittles_sour_candy.jpg,0.398426,2,0
..\..\JOCN-master\task a\images\m&m's_milk_chocholate.jpg,0.398426,1,0
$1.0,NaN,2,1
$1.75,0.398426,1,0
..\..\JOCN-master\task a\images\snickers_almond_bar.jpg,NaN,2,1
..\..\JOCN-master\task a\images\chips_ahoy_thin_crisps.jpg,NaN,2,1
$1.5,-0.577311,1,0
$1.75,0.398426,2,0
