snackName,rating,choseFor,pcResponse
$0.50 ,-1.513533,1,1
$1.75 ,-0.111031,2,0
..\..\JOCN-master\task a\images\haribo_gold_bears.jpg,-2.916034,1,1
..\..\JOCN-master\task a\images\austin_peanut_butter.jpg,NaN,2,1
$1.75 ,0.590219,2,0
$1.00 ,-0.111031,2,0
..\..\JOCN-master\task a\images\grandmas_vanilla sandwhich creme_cookies.jpg,NaN,2,1
1.5,-0.111031,2,1
..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg,-0.812282,1,0
..\..\JOCN-master\task a\images\planters_salted_cashews.jpg,-0.111031,2,0
$1.50 ,NaN,1,1
..\..\JOCN-master\task a\images\boulder_kettle_olive_oil.jpg,1.291470,2,0
$1.75 ,0.590219,2,0
$0.75 ,-0.812282,2,0
$0.50 ,-0.812282,1,0
..\..\JOCN-master\task a\images\planters_salted_peanuts.jpg,1.291470,2,0
$0.50 ,-1.513533,1,1
$0.50 ,NaN,1,1
..\..\JOCN-master\task a\images\mini_cheese_nips.jpg,NaN,2,1
$1.75 ,NaN,2,1
$1.75 ,NaN,1,1
..\..\JOCN-master\task a\images\kettle_salt_vinegar.jpg,-0.111031,1,0
$1.50 ,NaN,1,1
$0.75 ,1.291470,2,1
$1.25 ,0.590219,1,0
$1.50 ,0.590219,1,0
$1.25 ,NaN,1,1
$1.50 ,0.590219,2,0
$1.25 ,-0.111031,2,0
$1.25 ,-0.111031,2,0
$0.50 ,-0.812282,2,0
$1.50 ,0.590219,1,0
$1.00 ,-0.111031,1,0
$1.00 ,NaN,2,1
..\..\JOCN-master\task a\images\oreo_thin_crisps.jpg,-2.214783,2,0
$1.00 ,NaN,2,1
..\..\JOCN-master\task a\images\austin_peanut butter_cheese cracker.jpg,-0.111031,2,0
$0.50 ,-0.812282,1,0
$1.50 ,0.590219,1,0
$1.75 ,0.590219,2,0
$1.25 ,-2.916034,2,1
$1.75 ,0.590219,1,0
..\..\JOCN-master\task a\images\boulder_kettle_olive_oil.jpg,1.291470,1,0
..\..\JOCN-master\task a\images\black_forest_gummies.jpg,-0.111031,1,0
..\..\JOCN-master\task a\images\pringles_cheddar_potato crisps.jpg,NaN,2,1
..\..\JOCN-master\task a\images\nutrigrain_strawberry_bar.jpg,NaN,2,1
1.75,-0.111031,1,1
$1.75 ,0.590219,2,0
..\..\JOCN-master\task a\images\boulder_kettle_olive_oil.jpg,1.291470,1,0
