snackName,rating,choseFor,pcResponse
..\..\JOCN-master\task a\images\popchips_ridges_perfectly_salted.jpg,NaN,2,1
..\..\JOCN-master\task a\images\stonyfield_fruit snacks.jpg,NaN,2,1
$1.5,-0.614081,2,1
..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg,NaN,2,1
..\..\JOCN-master\task a\images\quaker_chewy_dark choc chunk.jpg,NaN,1,1
..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,-3.293706,2,1
$1.5,NaN,2,1
..\..\JOCN-master\task a\images\kettle_bbq.jpg,-0.614081,1,1
..\..\JOCN-master\task a\images\belvita_blueberry.JPG,0.725732,1,1
$0.5,NaN,2,1
$1.75,NaN,2,1
..\..\JOCN-master\task a\images\nature_valley_sweet_and_salty.jpg,-1.953893,2,1
..\..\JOCN-master\task a\images\belvita_banana_bread.jpg,NaN,1,1
$1.75,NaN,1,1
$1.75,0.055826,2,0
$1.75,0.055826,2,0
..\..\JOCN-master\task a\images\quaker_chewy_peanut butter choc chip.jpg,0.725732,1,0
..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,NaN,2,1
..\..\JOCN-master\task a\images\belvita_blueberry.JPG,0.725732,1,0
..\..\JOCN-master\task a\images\quaker_chewy_dark choc chunk.jpg,0.725732,2,0
..\..\JOCN-master\task a\images\kettle_bbq.jpg,0.725732,1,0
..\..\JOCN-master\task a\images\ct_crunch_cereal_bar.jpg,0.055826,1,0
$1.5,NaN,1,1
$1.75,0.725732,1,0
$1.0,-2.623799,2,1
$1.5,0.055826,1,0
..\..\JOCN-master\task a\images\popchips_sea_salt.jpg,NaN,1,1
$1.75,0.725732,2,0
..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,0.725732,2,0
$1.75,-1.953893,1,1
..\..\JOCN-master\task a\images\skittles_original_candy.jpg,0.725732,1,0
$1.25,0.725732,2,0
$1.0,NaN,1,1
$1.75,0.725732,2,0
..\..\JOCN-master\task a\images\pringles_cheddar_potato crisps.jpg,-0.614081,1,0
$1.75,0.725732,1,0
$1.5,-0.614081,2,0
$1.75,0.725732,1,0
..\..\JOCN-master\task a\images\welch's_tropical_fruits.jpg,0.725732,2,0
$1.75,0.055826,1,0
..\..\JOCN-master\task a\images\boulder_kettle_sea_salt.jpg,NaN,1,1
$1.75,0.725732,1,0
$1.25,NaN,2,1
..\..\JOCN-master\task a\images\lays_kc masterpiece_barbecue chips.jpg,0.725732,2,0
..\..\JOCN-master\task a\images\snickers_almond_bar.jpg,NaN,1,1
$1.5,NaN,1,1
..\..\JOCN-master\task a\images\pirates booty_aged white cheddar_ corn puffs.jpg,-1.283987,1,1
$1.75,0.055826,1,0
$1.75,0.055826,1,0
..\..\JOCN-master\task a\images\welch's_mixed fruit_fruit snacks.jpg,0.725732,2,0
$1.5,0.055826,2,0
$1.5,-0.614081,1,0
..\..\JOCN-master\task a\images\belvita_golden_oats.JPG,NaN,1,1
..\..\JOCN-master\task a\images\oreo_thin_crisps.jpg,NaN,2,1
$1.0,NaN,2,1
$1.75,-0.614081,2,0
$1.75,NaN,2,1
..\..\JOCN-master\task a\images\skittles_sour_candy.jpg,0.055826,1,0
$1.25,0.055826,2,0
$1.75,0.725732,2,0
$1.75,NaN,1,1
$1.75,0.055826,1,0
$1.5,NaN,2,1
$1.5,0.055826,2,0
$1.75,0.725732,2,0
$1.0,-1.283987,1,0
$1.75,0.725732,2,0
..\..\JOCN-master\task a\images\pringles_cheddar_potato crisps.jpg,-1.283987,1,0
$1.75,-1.283987,1,0
$1.5,0.055826,1,0
$1.75,0.725732,2,0
$0.5,NaN,1,1
$1.5,0.055826,2,0
..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,0.055826,1,0
$1.25,-0.614081,1,0
$1.75,0.725732,1,0
$1.25,-0.614081,2,0
..\..\JOCN-master\task a\images\kettle_bbq.jpg,0.055826,2,0
..\..\JOCN-master\task a\images\sun chips_french onion_chips.jpg,-0.614081,2,0
..\..\JOCN-master\task a\images\starburst_verry berry_candy.jpg,NaN,2,1
..\..\JOCN-master\task a\images\this_popcorn_is_awesome_olive_oil.jpg,NaN,2,1
..\..\JOCN-master\task a\images\keebler_cheese_and_peanut_butter.jpg,NaN,1,1
..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,0.055826,2,0
$1.75,0.725732,1,0
$1.75,0.725732,2,0
..\..\JOCN-master\task a\images\quaker_chewy_dark choc chunk.jpg,0.725732,2,0
$1.25,NaN,2,1
$1.75,NaN,1,1
..\..\JOCN-master\task a\images\basils_lemon.jpg,NaN,2,1
..\..\JOCN-master\task a\images\fritos_original_corn chips.jpg,-2.623799,2,0
$1.25,0.055826,2,0
$1.75,0.055826,1,0
..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,NaN,1,1
..\..\JOCN-master\task a\images\kettle_salt_vinegar.jpg,NaN,2,1
..\..\JOCN-master\task a\images\jacklinks_beef_stick.jpg,-1.283987,1,0
$1.25,-0.614081,1,0
$1.75,0.725732,1,0
..\..\JOCN-master\task a\images\welch's_white_grape_raspberry.jpg,-2.623799,1,1
$1.5,0.055826,1,0
..\..\JOCN-master\task a\images\kettle_salt_vinegar.jpg,NaN,2,1
$1.25,NaN,1,1
..\..\JOCN-master\task a\images\cliff_chocolate chip_bar.jpg,0.055826,2,0
..\..\JOCN-master\task a\images\skittles_original_candy.jpg,0.725732,2,0
..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg,NaN,1,1
..\..\JOCN-master\task a\images\belvita_banana_bread.jpg,NaN,1,1
..\..\JOCN-master\task a\images\starburst_orignal_candy.jpg,0.725732,2,0
$1.75,0.725732,2,0
1.0,0.055826,1,1
1.0,-3.293706,1,1
$1.75,0.725732,1,0
..\..\JOCN-master\task a\images\sun chips_garden salsa_chips.jpg,0.055826,2,0
$1.75,0.725732,2,0
..\..\JOCN-master\task a\images\lays_kc masterpiece_barbecue chips.jpg,NaN,1,1
..\..\JOCN-master\task a\images\stonyfield_fruit_snacks.jpg,0.725732,2,0
..\..\JOCN-master\task a\images\kar's_sweet'n spicy_mix.jpg,NaN,1,1
$1.75,0.725732,1,0
..\..\JOCN-master\task a\images\jacklinks_small_batch.jpg,NaN,2,1
$1.75,0.725732,2,0
$1.25,0.055826,2,0
..\..\JOCN-master\task a\images\this_popcorn_is_awesome_popcorn.jpg,-2.623799,1,1
..\..\JOCN-master\task a\images\teddy_grahams_chocolate.jpg,NaN,1,1
..\..\JOCN-master\task a\images\lays_kc masterpiece_barbecue chips.jpg,0.055826,1,0
$1.75,0.055826,2,0
..\..\JOCN-master\task a\images\quaker_chewy_chocolate chip.jpg,-0.614081,2,1
$1.75,0.725732,2,0
..\..\JOCN-master\task a\images\austin_choco creme_choc cookies.jpg,NaN,1,1
..\..\JOCN-master\task a\images\milkyway_orginal_candy.jpg,NaN,2,1
$1.5,0.055826,2,0
$0.75,NaN,2,1
$1.5,0.055826,2,0
..\..\JOCN-master\task a\images\kars_all_energy.jpg,NaN,2,1
$1.75,0.725732,2,0
$1.75,0.725732,1,0
$1.75,0.725732,2,0
$1.75,0.725732,1,0
..\..\JOCN-master\task a\images\doritos_cool ranch_chips.jpg,NaN,2,1
$1.75,0.725732,1,0
..\..\JOCN-master\task a\images\lance_toasty_with_pb.jpg,NaN,1,1
$1.5,0.725732,1,0
$0.5,NaN,1,1
$1.5,0.055826,1,0
$0.5,NaN,2,1
$1.5,0.055826,2,0
..\..\JOCN-master\task a\images\skittles_sour_candy.jpg,0.055826,1,0
$1.75,0.725732,2,0
$1.5,0.055826,2,0
..\..\JOCN-master\task a\images\nabisco_nutter butter_cookies and crackers.jpg,-1.283987,1,0
$1.75,0.725732,2,0
..\..\JOCN-master\task a\images\starburst_orignal_candy.jpg,0.725732,1,0
$0.75,NaN,1,1
$1.75,NaN,2,1
$1.0,0.725732,1,0
..\..\JOCN-master\task a\images\skittles_original_candy.jpg,0.055826,1,0
$1.75,0.725732,2,0
$0.5,NaN,1,1
$1.75,0.725732,2,0
..\..\JOCN-master\task a\images\kettle_bbq.jpg,0.725732,2,0
..\..\JOCN-master\task a\images\pringles_sour cream and onion_potato crisps.jpg,0.725732,2,0
$1.75,0.725732,1,0
$1.75,0.725732,1,0
$1.25,NaN,1,1
..\..\JOCN-master\task a\images\lance_toasty_with_pb.jpg,NaN,1,1
$1.0,NaN,2,1
..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg,0.725732,1,0
$1.75,0.725732,2,0
..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,0.725732,1,1
..\..\JOCN-master\task a\images\welch's_white_grape_raspberry.jpg,-3.293706,1,1
$1.75,-0.614081,2,1
$1.75,0.725732,1,0
..\..\JOCN-master\task a\images\famous_amos_chocolate_chip.jpg,0.725732,2,0
..\..\JOCN-master\task a\images\starburst_favereds_candy.jpg,0.055826,2,0
..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,NaN,1,1
$1.25,NaN,2,1
$0.75,NaN,2,1
$1.25,NaN,1,1
..\..\JOCN-master\task a\images\mini_fudge_stripes.jpg,-2.623799,1,1
1.5,-0.614081,1,1
$1.75,NaN,2,1
$0.75,NaN,2,1
..\..\JOCN-master\task a\images\kitkat_crisp wafers_milk choc.jpg,0.055826,1,0
