snackName,rating,choseFor,pcResponse
$0.5,NaN,1,1
$1.75,-0.155052,2,1
$1.5,NaN,2,1
$0.5,NaN,1,1
$1.0,-0.155052,1,1
..\..\JOCN-master\task a\images\ct_crunch_cereal_bar.jpg,NaN,2,1
..\..\JOCN-master\task a\images\clif_z_bar.jpg,NaN,1,1
$1.0,NaN,1,1
..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg,-0.155052,1,1
$1.0,NaN,2,1
..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg,0.560574,1,1
..\..\JOCN-master\task a\images\m&m's_milk_chocholate.jpg,NaN,2,1
..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,-0.870679,1,1
..\..\JOCN-master\task a\images\chips_ahoy_thin_crisps.jpg,-2.301933,2,1
$1.0,NaN,1,1
$1.75,1.276201,1,1
..\..\JOCN-master\task a\images\cheez itz_original.jpg,NaN,1,1
$1.75,0.560574,2,1
..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg,NaN,2,1
$1.75,NaN,2,1
$1.0,-0.155052,1,1
..\..\JOCN-master\task a\images\chex mix_original_traditional.jpg,1.276201,2,1
$1.75,-0.870679,2,1
$1.25,0.560574,2,1
..\..\JOCN-master\task a\images\poptarts_strawberry_frosted.jpg,NaN,1,1
$1.5,NaN,2,1
..\..\JOCN-master\task a\images\oreo_thin_crisps.jpg,-0.870679,2,0
$1.75,-3.017559,1,1
$1.5,-0.155052,1,0
..\..\JOCN-master\task a\images\lays_classic_potato chips.jpg,NaN,2,1
..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,0.560574,2,0
..\..\JOCN-master\task a\images\pringles_the original_potato crisps.jpg,-0.155052,2,0
$1.25,-0.870679,2,0
..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg,-0.870679,2,0
$1.75,0.560574,1,0
..\..\JOCN-master\task a\images\oreo_thin_crisps.jpg,NaN,2,1
..\..\JOCN-master\task a\images\haribo_gold_bears.jpg,0.560574,2,1
$1.75,0.560574,1,0
$1.75,-0.155052,1,0
..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg,-0.155052,2,0
$1.75,-0.870679,2,0
$1.75,0.560574,1,0
..\..\JOCN-master\task a\images\baked_cheetos_crunchy.jpg,0.560574,1,0
$1.75,0.560574,1,0
..\..\JOCN-master\task a\images\chex mix_original_traditional.jpg,0.560574,2,0
$1.5,NaN,2,1
$0.5,NaN,2,1
$1.75,0.560574,2,1
..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,-0.155052,1,0
..\..\JOCN-master\task a\images\skittles_sour_candy.jpg,NaN,2,1
$1.75,-0.155052,2,0
..\..\JOCN-master\task a\images\m&m's_milk_chocholate.jpg,-1.586306,2,1
$1.5,0.560574,1,0
$1.5,-0.155052,2,0
$0.75,NaN,2,1
$1.5,0.560574,1,0
