snackName,rating,choseFor,pcResponse
$0.5,NaN,1,1
..\..\JOCN-master\task a\images\lance_toasty_with_pb.jpg,0.617781,2,1
$1.5,0.617781,2,0
$1.75,0.617781,1,0
..\..\JOCN-master\task a\images\lays_classic_potato chips.jpg,0.617781,1,0
$1.75,0.617781,2,0
$1.25,NaN,1,1
$1.75,0.043101,2,1
..\..\JOCN-master\task a\images\special_k_pastry_crisps_strawberry.jpg,NaN,1,1
$1.0,-1.106260,2,1
$1.25,0.043101,1,0
..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,NaN,2,1
..\..\JOCN-master\task a\images\kettle_salt_pepper.jpg,-2.830300,2,1
..\..\JOCN-master\task a\images\kettle_original.jpg,0.617781,1,0
$1.75,0.617781,1,0
$1.75,0.617781,2,0
..\..\JOCN-master\task a\images\garden_veggie straws_sea salt.jpg,0.043101,1,1
$1.75,0.617781,1,0
..\..\JOCN-master\task a\images\kettle_salt_pepper.jpg,0.043101,2,0
..\..\JOCN-master\task a\images\lance_toasty_with_pb.jpg,-1.680940,2,1
$1.75,0.617781,1,0
..\..\JOCN-master\task a\images\belvita_blueberry.JPG,0.617781,2,0
$1.25,-2.255620,1,1
$1.75,0.617781,2,0
$1.75,0.617781,2,0
$1.75,0.617781,1,0
..\..\JOCN-master\task a\images\nabisco_nutter butter_cookies and crackers.jpg,NaN,2,1
..\..\JOCN-master\task a\images\keebler_vanilla_sugar_wafers.jpg,0.043101,1,0
$1.75,0.617781,1,0
..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg,NaN,2,1
..\..\JOCN-master\task a\images\cascadian_farm_granola.jpg,-1.106260,1,0
..\..\JOCN-master\task a\images\lance_toasty_with_pb.jpg,NaN,2,1
$1.75,0.617781,1,0
..\..\JOCN-master\task a\images\hersheys_milk choc_almond.jpg,NaN,1,1
..\..\JOCN-master\task a\images\quaker_chewy_dark choc chunk.jpg,NaN,1,1
$1.25,0.043101,1,0
..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,0.617781,2,0
..\..\JOCN-master\task a\images\stonyfield_fruit snacks.jpg,0.043101,2,0
$1.75,0.617781,2,0
..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg,0.043101,1,0
..\..\JOCN-master\task a\images\cheez-it_white_cheddar.JPG,NaN,2,1
..\..\JOCN-master\task a\images\kettle_salt_pepper.jpg,0.617781,1,0
$0.75,-2.830300,2,1
$1.75,NaN,2,1
..\..\JOCN-master\task a\images\larabar_cashew_cookie_bar.jpg,NaN,2,1
..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,-1.680940,1,1
..\..\JOCN-master\task a\images\mini_cheese_nips.jpg,NaN,2,1
$0.75,NaN,2,1
$1.75,0.617781,2,0
$1.75,0.617781,2,0
$1.25,NaN,2,1
..\..\JOCN-master\task a\images\austin_peanut butter_cheese cracker.jpg,NaN,2,1
..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,-2.830300,1,1
$0.5,NaN,2,1
..\..\JOCN-master\task a\images\kettle_salt_pepper.jpg,0.617781,1,0
$1.25,0.043101,2,0
$1.75,0.617781,2,0
$1.5,NaN,2,1
$1.75,0.043101,2,0
..\..\JOCN-master\task a\images\pringles_sour cream and onion_potato crisps.jpg,0.043101,1,0
$1.25,0.043101,2,0
..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg,0.617781,1,0
..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,NaN,2,1
..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,0.617781,2,0
..\..\JOCN-master\task a\images\cheez itz_original.jpg,0.617781,2,0
$1.75,0.617781,1,0
..\..\JOCN-master\task a\images\sun chips_garden salsa_chips.jpg,NaN,1,1
..\..\JOCN-master\task a\images\cheez itz_original.jpg,0.617781,2,0
$1.75,NaN,1,1
$1.75,0.617781,1,0
..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg,0.617781,1,0
$1.75,0.617781,2,0
..\..\JOCN-master\task a\images\combos_cheddar cheese_pretzel.jpg,0.043101,2,1
..\..\JOCN-master\task a\images\garden_veggie straws_sea salt.jpg,NaN,2,1
$1.75,0.617781,1,0
..\..\JOCN-master\task a\images\kettle_salt_pepper.jpg,0.617781,2,0
..\..\JOCN-master\task a\images\jacklinks_beef_steak.jpg,NaN,1,1
