snackName,rating,choseFor,pcResponse
..\..\JOCN-master\task a\images\belvita_golden_oats.JPG,0.135005,2,1
$1.75,-0.443589,2,1
$0.75,NaN,2,1
..\..\JOCN-master\task a\images\nabisco_nutter butter_cookies and crackers.jpg,NaN,2,1
..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg,NaN,1,1
..\..\JOCN-master\task a\images\milkyway_orginal_candy.jpg,-2.179371,2,1
$1.25,-1.022183,2,1
$0.5,NaN,1,1
$1.0,NaN,2,1
$1.75,0.135005,2,0
$1.25,-1.022183,1,1
$1.75,0.713599,2,0
$1.75,NaN,1,1
..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg,NaN,1,1
$1.75,0.713599,1,0
$1.75,0.713599,1,0
..\..\JOCN-master\task a\images\nature_valley_granola_cups_almond_butter.jpg,NaN,1,1
$1.5,-0.443589,2,0
..\..\JOCN-master\task a\images\skittles_sour_candy.jpg,0.135005,1,1
..\..\JOCN-master\task a\images\starburst_orignal_candy.jpg,0.713599,1,0
$0.5,NaN,1,1
..\..\JOCN-master\task a\images\welch's_white_grape_raspberry.jpg,0.713599,2,0
$1.25,0.135005,2,0
$1.75,0.713599,1,0
$0.75,NaN,2,1
$1.0,-1.022183,1,0
$1.75,NaN,1,1
$1.5,-0.443589,1,0
$1.75,0.713599,1,0
..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg,NaN,2,1
..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,0.713599,1,0
$1.75,0.713599,2,0
..\..\JOCN-master\task a\images\welch's_mixed fruit_fruit snacks.jpg,0.713599,1,0
..\..\JOCN-master\task a\images\chex mix_original_traditional.jpg,NaN,2,1
..\..\JOCN-master\task a\images\hersheys_milk choc_almond.jpg,NaN,1,1
..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,-0.443589,1,0
$1.0,-1.022183,1,0
$1.5,NaN,1,1
$1.0,-0.443589,2,0
$1.25,-0.443589,2,0
$1.75,0.713599,1,0
..\..\JOCN-master\task a\images\special_k_pastry_crisps_strawberry.jpg,-2.757965,1,0
$1.25,NaN,1,1
..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg,NaN,1,1
$1.75,NaN,2,1
..\..\JOCN-master\task a\images\famous_amos_chocolate_chip.jpg,0.713599,1,0
$1.5,-0.443589,2,0
..\..\JOCN-master\task a\images\lays_kc masterpiece_barbecue chips.jpg,NaN,2,1
$1.0,-0.443589,1,0
$1.75,0.713599,2,0
..\..\JOCN-master\task a\images\cheez itz_original.jpg,NaN,2,1
..\..\JOCN-master\task a\images\pringles_cheddar_potato crisps.jpg,NaN,2,1
$0.5,NaN,1,1
..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg,0.713599,2,0
..\..\JOCN-master\task a\images\starburst_orignal_candy.jpg,NaN,1,1
..\..\JOCN-master\task a\images\planters_salted_cashews.jpg,NaN,2,1
..\..\JOCN-master\task a\images\annie's_chocolate_chip_bunny_grahams.jpg,NaN,2,1
..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg,-0.443589,1,0
..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg,-0.443589,2,0
$1.75,0.713599,2,0
$1.0,-2.757965,1,1
..\..\JOCN-master\task a\images\snyders_mini_pretzels.jpg,-1.022183,1,0
..\..\JOCN-master\task a\images\snickers_almond_bar.jpg,0.713599,1,0
..\..\JOCN-master\task a\images\starburst_orignal_candy.jpg,0.713599,1,0
..\..\JOCN-master\task a\images\poptarts_brown_sugar.jpg,NaN,2,1
$1.0,-0.443589,2,0
$1.5,-0.443589,1,0
$1.75,0.713599,1,0
..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,NaN,1,1
$1.25,-1.022183,2,0
$1.75,0.713599,1,0
$1.25,NaN,1,1
$1.75,0.713599,1,0
..\..\JOCN-master\task a\images\keebler_vanilla_sugar_wafers.jpg,-2.179371,2,0
$0.75,-2.179371,2,0
..\..\JOCN-master\task a\images\combos_cheddar cheese_pretzel.jpg,0.713599,1,0
..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg,0.713599,2,0
$0.75,NaN,2,1
$1.5,NaN,1,1
$1.75,0.713599,2,0
