snackName,rating,choseFor,pcResponse
..\..\JOCN-master\task a\images\keebler_chips delux_cookies_crackers.jpg,-5.093326,1,1
$1.75,-1.716535,1,1
$1.75,NaN,2,1
..\..\JOCN-master\task a\images\stonyfield_fruit_snacks.jpg,0.534659,2,0
..\..\JOCN-master\task a\images\starburst_orignal_candy.jpg,1.660255,1,0
..\..\JOCN-master\task a\images\lance_captain_wafers_with_honey_and_pb.JPG,NaN,1,1
$1.75,-0.590938,1,0
..\..\JOCN-master\task a\images\belvita_golden_oats.JPG,NaN,2,1
..\..\JOCN-master\task a\images\skittles_darkside_candy.jpg,1.660255,2,0
$1.75,-0.590938,2,0
..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg,-1.716535,1,0
$1.75,-0.590938,1,0
$1.5,NaN,1,1
$0.5,NaN,1,1
..\..\JOCN-master\task a\images\nabisco_teddy graham_honey.jpg,-0.590938,2,0
..\..\JOCN-master\task a\images\black_forest_gummies.jpg,1.660255,1,0
..\..\JOCN-master\task a\images\welch's_tropical_fruits.jpg,1.660255,1,0
..\..\JOCN-master\task a\images\grandmas_chocolate brownie_cookie.jpg,NaN,1,1
..\..\JOCN-master\task a\images\nature valley_oats and honey_crunchy.jpg,0.534659,2,0
..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,1.660255,1,0
..\..\JOCN-master\task a\images\baked_cheetos_crunchy.jpg,NaN,2,1
..\..\JOCN-master\task a\images\welch's_mixed fruit_fruit snacks.jpg,1.660255,1,0
$0.5,NaN,2,1
$1.5,1.660255,2,0
..\..\JOCN-master\task a\images\jacklinks_beef_steak.jpg,NaN,1,1
..\..\JOCN-master\task a\images\krave_jerky_sweet_chipotle.jpg,NaN,1,1
..\..\JOCN-master\task a\images\chex mix_original_traditional.jpg,-0.590938,1,0
$1.5,-0.590938,2,0
..\..\JOCN-master\task a\images\fig_newtons.jpg,NaN,1,1
..\..\JOCN-master\task a\images\welch's_white_grape_raspberry.jpg,1.660255,2,0
..\..\JOCN-master\task a\images\haribo_gold_bears.jpg,1.660255,2,0
$1.25,NaN,2,1
..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,1.660255,1,0
..\..\JOCN-master\task a\images\slim_jim.jpg,NaN,1,1
$1.75,0.534659,1,0
..\..\JOCN-master\task a\images\black_forest_gummies.jpg,1.660255,2,0
$1.5,-0.590938,2,0
..\..\JOCN-master\task a\images\belvita_banana_bread.jpg,1.660255,1,0
$1.75,-0.590938,1,0
..\..\JOCN-master\task a\images\kettle_bbq.jpg,NaN,1,1
..\..\JOCN-master\task a\images\quaker_chewy_chocolate chip.jpg,0.534659,2,0
$1.5,NaN,1,1
..\..\JOCN-master\task a\images\3 musketeers_candy bar.jpg,1.660255,1,0
..\..\JOCN-master\task a\images\kind bar_peanut butter_bar.jpg,-0.590938,2,0
..\..\JOCN-master\task a\images\haribo_gold_bears.jpg,1.660255,1,0
$1.75,1.660255,1,0
..\..\JOCN-master\task a\images\kar's_sweet'n spicy_mix.jpg,0.534659,2,0
..\..\JOCN-master\task a\images\fiber one_chocolate fudge_ brownie.jpg,NaN,2,1
..\..\JOCN-master\task a\images\walkers_highlander_shortbread.jpg,0.534659,2,0
..\..\JOCN-master\task a\images\sunchips_harvest cheddar_chips.jpg,NaN,1,1
..\..\JOCN-master\task a\images\popchips_sour_cream_and_onion.jpg,NaN,2,1
..\..\JOCN-master\task a\images\kars_all_energy.jpg,0.534659,2,0
..\..\JOCN-master\task a\images\kitkat_crisp wafers_milk choc.jpg,1.660255,1,0
$0.5,NaN,1,1
..\..\JOCN-master\task a\images\stonyfield_fruit snacks.jpg,NaN,2,1
$1.0,-0.590938,1,0
..\..\JOCN-master\task a\images\jacklinks_beef_stick.jpg,1.660255,1,0
$1.0,NaN,1,1
$1.25,-0.590938,1,0
..\..\JOCN-master\task a\images\brookside_fruit and nut_bar.jpg,NaN,2,1
$1.0,NaN,2,1
..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,-0.590938,2,0
..\..\JOCN-master\task a\images\annie's_cheddar_bunnies.jpg,NaN,1,1
..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,0.534659,2,0
..\..\JOCN-master\task a\images\fritos_original_corn chips.jpg,0.534659,2,0
..\..\JOCN-master\task a\images\starburst_favereds_candy.jpg,1.660255,1,0
..\..\JOCN-master\task a\images\haribo_gold_bears.jpg,1.660255,1,0
..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg,0.534659,2,0
$1.75,1.660255,2,0
..\..\JOCN-master\task a\images\kind_almond_butter.jpg,NaN,1,1
..\..\JOCN-master\task a\images\hersheys_milk choc_almond.jpg,0.534659,2,0
$1.5,NaN,2,1
..\..\JOCN-master\task a\images\welch's_white_grape_raspberry.jpg,0.534659,2,0
..\..\JOCN-master\task a\images\homefree_chocolatechip_minicookies.jpg,NaN,1,1
..\..\JOCN-master\task a\images\barnum's_animal_crackers.jpg,0.534659,2,0
..\..\JOCN-master\task a\images\quaker_chewy_dark choc chunk.jpg,0.534659,2,0
..\..\JOCN-master\task a\images\poptarts_brown_sugar.jpg,0.534659,1,0
$1.5,-0.590938,2,0
$1.75,0.534659,2,0
..\..\JOCN-master\task a\images\keebler_chips_deluxe.jpg,0.534659,1,0
..\..\JOCN-master\task a\images\belvita_banana_bread.jpg,0.534659,1,0
..\..\JOCN-master\task a\images\annie's_honey_bunny_grahams.jpg,0.534659,2,0
$1.5,NaN,2,1
..\..\JOCN-master\task a\images\sun chips_french onion_chips.jpg,NaN,1,1
..\..\JOCN-master\task a\images\belvita_blueberry.JPG,0.534659,2,0
..\..\JOCN-master\task a\images\fig_newtons.jpg,0.534659,1,0
$1.75,0.534659,1,0
..\..\JOCN-master\task a\images\fiber one_lemon_ bar.jpg,NaN,2,1
..\..\JOCN-master\task a\images\ct_crunch_cereal_bar.jpg,0.534659,2,0
..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg,0.534659,2,0
..\..\JOCN-master\task a\images\barnum's_animal_crackers.jpg,NaN,2,1
$1.75,0.534659,1,0
..\..\JOCN-master\task a\images\ct_crunch_cereal_bar.jpg,NaN,1,1
..\..\JOCN-master\task a\images\lance_captain_wafers_with_honey_and_pb.JPG,0.534659,1,0
..\..\JOCN-master\task a\images\pirates booty_aged white cheddar_ corn puffs.jpg,NaN,2,1
..\..\JOCN-master\task a\images\welch's_berry.jpg,0.534659,2,0
..\..\JOCN-master\task a\images\sun chips_original_chips.jpg,NaN,2,1
..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg,0.534659,1,0
..\..\JOCN-master\task a\images\poptarts_brown_sugar.jpg,-0.590938,2,0
..\..\JOCN-master\task a\images\clif_z_bar.jpg,-0.590938,1,0
$1.5,NaN,1,1
..\..\JOCN-master\task a\images\cascadian_farm_granola.jpg,-0.590938,2,0
..\..\JOCN-master\task a\images\welch's_berry.jpg,-0.590938,2,0
..\..\JOCN-master\task a\images\kar's_sweet'n spicy_mix.jpg,-0.590938,1,1
..\..\JOCN-master\task a\images\stonyfield_fruit_snacks.jpg,-0.590938,1,0
..\..\JOCN-master\task a\images\poptarts_strawberry_frosted.jpg,NaN,2,1
$1.25,-0.590938,1,0
..\..\JOCN-master\task a\images\homefree_doublechocolatechip_minicookies.jpg,NaN,1,1
..\..\JOCN-master\task a\images\poptarts_brown_sugar.jpg,-0.590938,1,0
$1.25,-0.590938,2,0
..\..\JOCN-master\task a\images\slim_jim.jpg,NaN,2,1
$0.75,NaN,2,1
$1.0,NaN,2,1
$0.75,NaN,2,1
..\..\JOCN-master\task a\images\skittles_sour_candy.jpg,-0.590938,1,0
..\..\JOCN-master\task a\images\jacklinks_beef_stick.jpg,-0.590938,1,0
..\..\JOCN-master\task a\images\boulder_kettle_hickory_bbq.jpg,NaN,2,1
$1.75,NaN,1,1
..\..\JOCN-master\task a\images\haribo_gold_bears.jpg,-0.590938,1,0
$1.25,NaN,2,1
$1.75,-0.590938,1,0
..\..\JOCN-master\task a\images\welch's_white_grape_raspberry.jpg,-0.590938,2,0
$1.75,-0.590938,1,0
