snackName,rating,choseFor,pcResponse
..\..\JOCN-master\task a\images\homefree_chocolatechip_minicookies.jpg,NaN,2,1
1.75,-2.900365,1,1
..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,-1.396936,2,1
$1.75,0.858207,1,0
..\..\JOCN-master\task a\images\fritos_original_corn chips.jpg,-2.148650,1,1
$1.75,-3.652079,2,1
..\..\JOCN-master\task a\images\starburst_verry berry_candy.jpg,0.106493,2,0
..\..\JOCN-master\task a\images\nabisco_mini_ritz.jpg,-2.148650,2,1
$1.75,-2.148650,1,1
$0.5,NaN,2,1
..\..\JOCN-master\task a\images\austin_lemon ohs_lemon cookies.jpg,NaN,1,1
..\..\JOCN-master\task a\images\welch's_berry.jpg,0.858207,2,0
$1.0,NaN,1,1
$1.75,0.106493,2,0
..\..\JOCN-master\task a\images\keebler_vanilla_sugar_wafers.jpg,NaN,2,1
$0.5,NaN,2,1
..\..\JOCN-master\task a\images\lance_toasty_with_pb.jpg,-2.148650,2,0
$1.5,NaN,1,1
$1.25,-0.645222,2,0
$1.75,NaN,1,1
..\..\JOCN-master\task a\images\kettle_salt_pepper.jpg,NaN,1,1
..\..\JOCN-master\task a\images\nabisco_nutter butter_bites.jpg,0.858207,2,0
..\..\JOCN-master\task a\images\twix_milk chocolate_cookie bars.jpg,0.858207,2,0
$1.75,0.106493,2,0
$1.5,-0.645222,1,0
..\..\JOCN-master\task a\images\welch's_mixed fruit_fruit snacks.jpg,-1.396936,1,1
$1.75,0.106493,1,0
..\..\JOCN-master\task a\images\lance_toasty_with_pb.jpg,NaN,1,1
..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,NaN,1,1
..\..\JOCN-master\task a\images\keebler_chips delux_cookies_crackers.jpg,-0.645222,1,1
$1.75,0.106493,1,0
$0.75,NaN,2,1
$1.75,0.106493,2,0
..\..\JOCN-master\task a\images\welch's_white_grape_raspberry.jpg,0.106493,2,0
$1.5,-0.645222,1,0
$0.75,NaN,2,1
..\..\JOCN-master\task a\images\pringles_sour cream and onion_potato crisps.jpg,NaN,1,1
..\..\JOCN-master\task a\images\skittles_darkside_candy.jpg,0.858207,1,0
$1.75,0.106493,2,0
..\..\JOCN-master\task a\images\starburst_favereds_candy.jpg,0.858207,2,0
..\..\JOCN-master\task a\images\nabisco_mini_ritz.jpg,0.858207,2,0
$1.75,0.106493,1,0
..\..\JOCN-master\task a\images\starburst_verry berry_candy.jpg,0.858207,2,0
..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg,0.858207,1,0
$0.75,NaN,2,1
..\..\JOCN-master\task a\images\3 musketeers_candy bar.jpg,NaN,2,1
..\..\JOCN-master\task a\images\cloverhill_cheese_danish.jpg,0.106493,1,0
$1.25,NaN,1,1
..\..\JOCN-master\task a\images\welch's_white_grape_raspberry.jpg,NaN,1,1
$0.5,NaN,2,1
..\..\JOCN-master\task a\images\poptarts_strawberry_frosted.jpg,0.858207,2,0
$1.75,-3.652079,2,1
..\..\JOCN-master\task a\images\grandma's_peanut butter_cookies.jpg,0.106493,2,0
$1.75,0.106493,1,0
..\..\JOCN-master\task a\images\chex mix_original_traditional.jpg,0.106493,2,0
