snackName,rating,choseFor,pcResponse
$0.75,NaN,1,1
..\..\JOCN-master\task a\images\keebler_cheese_and_peanut_butter.jpg,NaN,2,1
$1.75,NaN,1,1
$1.5,-4.002453,1,1
..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,NaN,2,1
..\..\JOCN-master\task a\images\kitkat_crisp wafers_milk choc.jpg,0.353958,1,0
$1.75,0.353958,1,0
..\..\JOCN-master\task a\images\keebler_cheese_and_peanut_butter.jpg,-2.913350,2,1
$1.0,0.353958,1,0
$1.75,0.353958,1,0
..\..\JOCN-master\task a\images\quaker_chewy_chocolate chip.jpg,0.353958,1,0
..\..\JOCN-master\task a\images\pringles_sour cream and onion_potato crisps.jpg,NaN,2,1
$1.5,0.353958,2,0
$1.75,0.353958,1,0
$0.75,-1.824247,2,0
$1.75,-0.735144,2,0
..\..\JOCN-master\task a\images\barnum's_animal_crackers.jpg,NaN,1,1
$0.5,NaN,2,1
$0.5,NaN,2,1
..\..\JOCN-master\task a\images\m&m's_milk_chocholate.jpg,0.353958,1,0
$1.75,0.353958,1,0
..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg,0.353958,1,0
$1.25,0.353958,1,0
..\..\JOCN-master\task a\images\baked_lays_barbeque.jpg,NaN,1,1
..\..\JOCN-master\task a\images\starburst_favereds_candy.jpg,-4.002453,2,0
..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,-2.913350,2,0
$1.5,0.353958,1,0
..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,0.353958,1,0
$1.75,0.353958,1,0
..\..\JOCN-master\task a\images\m&m's_peanut.jpg,NaN,2,1
$1.75,0.353958,1,0
..\..\JOCN-master\task a\images\pringles_the original_potato crisps.jpg,NaN,1,1
$1.75,0.353958,1,0
..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg,-1.824247,2,0
$1.75,0.353958,2,0
$1.75,NaN,2,1
..\..\JOCN-master\task a\images\nuture valley_crunchy_bar.jpg,-1.824247,2,0
..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg,-2.913350,2,0
..\..\JOCN-master\task a\images\baked_lays_sour cream and onion.jpg,NaN,2,1
$0.5,NaN,1,1
$1.0,NaN,1,1
..\..\JOCN-master\task a\images\nabisco_nutter butter_cookies and crackers.jpg,NaN,1,1
..\..\JOCN-master\task a\images\starburst_orignal_candy.jpg,NaN,1,1
..\..\JOCN-master\task a\images\nabisco_mini_ritz.jpg,NaN,1,1
$1.25,0.353958,1,0
$0.75,NaN,1,1
$1.75,0.353958,1,0
$0.75,NaN,1,1
$1.0,0.353958,1,0
..\..\JOCN-master\task a\images\fiber one_chocolate fudge_ brownie.jpg,-2.913350,1,0
$1.5,0.353958,2,0
$1.5,NaN,1,1
..\..\JOCN-master\task a\images\doritos_nacho cheesier_chips.jpg,-0.735144,2,0
..\..\JOCN-master\task a\images\quaker_chewy_chocolate chip.jpg,0.353958,2,0
$1.75,0.353958,2,0
..\..\JOCN-master\task a\images\belvita_golden_oats.JPG,NaN,2,1
$1.75,0.353958,2,0
$1.25,0.353958,2,0
$1.75,NaN,2,1
..\..\JOCN-master\task a\images\belvita_blueberry.JPG,NaN,2,1
..\..\JOCN-master\task a\images\fiber one_oats and choc_chewy bar.jpg,NaN,2,1
$1.75,0.353958,1,0
..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg,-0.735144,1,0
$0.75,-4.002453,1,0
$1.5,NaN,2,1
..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,-2.913350,2,0
$1.5,0.353958,2,0
$1.75,0.353958,1,0
$1.25,0.353958,2,0
..\..\JOCN-master\task a\images\welch's_mixed fruit_fruit snacks.jpg,NaN,2,1
$1.25,-0.735144,1,0
..\..\JOCN-master\task a\images\nutrigrain_apple cinnamon_bar.jpg,NaN,1,1
$1.0,NaN,2,1
..\..\JOCN-master\task a\images\doritos_cool ranch_chips.jpg,NaN,2,1
..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,NaN,1,1
$1.25,0.353958,1,0
$1.5,0.353958,1,0
$1.0,0.353958,1,0
..\..\JOCN-master\task a\images\welch's_mixed fruit_fruit snacks.jpg,NaN,2,1
$1.5,0.353958,1,0
$1.75,0.353958,2,0
$1.75,0.353958,2,0
$1.75,0.353958,2,0
..\..\JOCN-master\task a\images\sun chips_garden salsa_chips.jpg,NaN,2,1
