snackName,rating,choseFor,pcResponse
1.25,-1.942012,1,1
..\..\JOCN-master\task a\images\doritos_cool ranch_chips.jpg,NaN,2,1
..\..\JOCN-master\task a\images\kitkat_crisp wafers_milk choc.jpg,-0.153970,1,1
..\..\JOCN-master\task a\images\doritos_cool ranch_chips.jpg,1.038058,2,1
$1.5,1.038058,2,0
..\..\JOCN-master\task a\images\fritos_original_corn chips.jpg,1.038058,1,0
..\..\JOCN-master\task a\images\welch's_white_grape_raspberry.jpg,NaN,2,1
..\..\JOCN-master\task a\images\kettle_salt_vinegar.jpg,1.038058,1,0
..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg,1.038058,1,0
$1.5,-0.153970,2,0
..\..\JOCN-master\task a\images\poptarts_brown_sugar.jpg,1.038058,2,0
..\..\JOCN-master\task a\images\baked_lays_barbeque.jpg,NaN,1,1
$1.5,NaN,2,1
..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg,NaN,1,1
$1.75,1.038058,1,0
..\..\JOCN-master\task a\images\skittles_original_candy.jpg,NaN,2,1
..\..\JOCN-master\task a\images\kettle_salt_pepper.jpg,-0.153970,1,0
..\..\JOCN-master\task a\images\teddy_grahams_chocolate.jpg,NaN,1,1
$1.75,-0.749984,2,1
..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg,1.038058,1,0
$0.5,NaN,2,1
..\..\JOCN-master\task a\images\stonyfield_fruit snacks.jpg,-1.345998,2,0
..\..\JOCN-master\task a\images\pringles_cheddar_potato crisps.jpg,-0.749984,2,0
..\..\JOCN-master\task a\images\sun chips_french onion_chips.jpg,-0.153970,1,0
..\..\JOCN-master\task a\images\m&m's_peanut.jpg,1.038058,1,0
$1.75,-1.942012,1,0
..\..\JOCN-master\task a\images\sun chips_garden salsa_chips.jpg,0.442044,2,0
..\..\JOCN-master\task a\images\nature_valley_chewy.jpg,-0.749984,2,0
..\..\JOCN-master\task a\images\nestle_babyruth_bar.jpg,NaN,2,1
