snackName,rating,choseFor,pcResponse
$1.0,NaN,1,1
$0.5,NaN,2,1
$1.5,NaN,1,1
..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg,1.082575,1,1
..\..\JOCN-master\task a\images\twix_milk chocolate_cookie bars.jpg,0.416375,1,0
$1.75,0.416375,2,0
..\..\JOCN-master\task a\images\3 musketeers_candy bar.jpg,0.416375,1,0
$1.25,NaN,1,1
$1.0,NaN,2,1
..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,1.082575,2,0
..\..\JOCN-master\task a\images\keebler_chips_deluxe.jpg,-0.916025,1,1
$1.75,1.082575,2,0
..\..\JOCN-master\task a\images\nestle_butterfinger_bar.jpg,-0.916025,2,0
$1.75,0.416375,2,0
..\..\JOCN-master\task a\images\slim_jim.jpg,NaN,1,1
$1.75,NaN,2,1
..\..\JOCN-master\task a\images\ct_crunch_cereal_bar.jpg,-0.249825,1,0
$0.5,NaN,1,1
..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg,1.082575,1,0
..\..\JOCN-master\task a\images\kettle_jalepeno.jpg,-0.916025,2,0
$1.0,NaN,2,1
..\..\JOCN-master\task a\images\pirates booty_aged white cheddar_ corn puffs.jpg,-0.249825,1,0
..\..\JOCN-master\task a\images\this_popcorn_is_awesome_aged_white_cheddar.jpg,NaN,2,1
$1.75,1.748776,1,0
..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg,NaN,2,1
..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg,NaN,1,1
$1.75,-0.916025,1,0
..\..\JOCN-master\task a\images\doritos_cool ranch_chips.jpg,NaN,2,1
..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg,-2.248426,1,0
$1.75,0.416375,2,0
..\..\JOCN-master\task a\images\nature_valley_chewy.jpg,NaN,2,1
..\..\JOCN-master\task a\images\kars_mango pinapple_trail mix.jpg,NaN,2,1
..\..\JOCN-master\task a\images\baked_lays_sour cream and onion.jpg,1.082575,1,0
..\..\JOCN-master\task a\images\keebler_cheese_and_peanut_butter.jpg,-2.248426,2,0
..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg,0.416375,1,0
..\..\JOCN-master\task a\images\pringles_sour cream and onion_potato crisps.jpg,0.416375,1,0
..\..\JOCN-master\task a\images\m&m's_milk_chocholate.jpg,-0.249825,2,0
$1.0,NaN,2,1
$0.75,NaN,2,1
..\..\JOCN-master\task a\images\nutrigrain_apple cinnamon_bar.jpg,0.416375,1,0
$1.75,NaN,1,1
..\..\JOCN-master\task a\images\keebler_vanilla_sugar_wafers.jpg,0.416375,1,0
..\..\JOCN-master\task a\images\reeses_peanut butter cups_milk choc.jpg,0.416375,2,0
..\..\JOCN-master\task a\images\planters_salted_peanuts.jpg,NaN,2,1
$0.75,NaN,2,1
..\..\JOCN-master\task a\images\sourpatchkids_original_candy.jpg,-2.248426,2,0
$0.75,NaN,2,1
..\..\JOCN-master\task a\images\special_k_pastry_crisps_blueberry.jpg,-0.916025,2,0
..\..\JOCN-master\task a\images\nabisco_ritz bits_cookies.jpg,NaN,2,1
..\..\JOCN-master\task a\images\wheat_thins.jpg,-0.249825,1,0
..\..\JOCN-master\task a\images\kettle_original.jpg,-0.249825,2,0
..\..\JOCN-master\task a\images\lance_captain_wafers_with_honey_and_pb.JPG,NaN,1,1
$1.5,1.082575,2,0
$1.25,NaN,1,1
$1.0,NaN,2,1
..\..\JOCN-master\task a\images\hersey_milk_chocolate.jpg,1.082575,2,0
..\..\JOCN-master\task a\images\kettle_bbq.jpg,1.082575,2,0
..\..\JOCN-master\task a\images\keebler_vanilla_sugar_wafers.jpg,1.748776,2,0
..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg,-0.916025,1,0
..\..\JOCN-master\task a\images\fritos_original_corn chips.jpg,-2.248426,2,0
$1.25,-0.916025,1,0
..\..\JOCN-master\task a\images\m&m's_milk_chocholate.jpg,-0.249825,2,0
$1.25,NaN,2,1
$1.75,0.416375,2,0
$1.75,NaN,2,1
..\..\JOCN-master\task a\images\fig_newtons.jpg,-1.582226,1,0
..\..\JOCN-master\task a\images\3 musketeers_candy bar.jpg,0.416375,1,0
$1.75,-0.249825,2,1
