snackName,rating,choseFor,pcResponse
..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,-0.985453,1,1
..\..\JOCN-master\task a\images\pringles_cheddar_potato crisps.jpg,0.797276,1,1
$0.75,NaN,1,1
..\..\JOCN-master\task a\images\skittles_sour_candy.jpg,-0.391210,2,0
..\..\JOCN-master\task a\images\basils_peanut_butter.jpg,0.203033,1,0
..\..\JOCN-master\task a\images\lays_classic_potato chips.jpg,0.797276,1,0
..\..\JOCN-master\task a\images\kettle_salt_pepper.jpg,-0.391210,2,0
..\..\JOCN-master\task a\images\austin_peanut_butter.jpg,NaN,2,1
..\..\JOCN-master\task a\images\pringles_sour cream and onion_potato crisps.jpg,0.797276,1,0
..\..\JOCN-master\task a\images\poptarts_strawberry_frosted.jpg,0.797276,2,1
..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,0.797276,1,0
$1.75,0.797276,1,0
..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg,0.203033,2,1
..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg,NaN,1,1
..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,-1.579695,2,1
$1.25,0.203033,2,0
$1.25,NaN,2,1
..\..\JOCN-master\task a\images\pringles_the original_potato crisps.jpg,0.797276,2,0
$1.5,0.797276,2,0
..\..\JOCN-master\task a\images\welch's_berry.jpg,-0.391210,1,0
..\..\JOCN-master\task a\images\annie's_honey_bunny_grahams.jpg,0.203033,2,0
..\..\JOCN-master\task a\images\nabisco_teddy graham_honey.jpg,0.203033,1,0
$1.75,0.797276,2,0
..\..\JOCN-master\task a\images\larabar_peanut_butter_cookie_bar.jpg,0.797276,2,0
..\..\JOCN-master\task a\images\cheez itz_original.jpg,0.797276,1,0
$1.25,0.797276,2,0
..\..\JOCN-master\task a\images\sun chips_french onion_chips.jpg,0.203033,2,1
..\..\JOCN-master\task a\images\cheez itz_original.jpg,0.797276,1,0
..\..\JOCN-master\task a\images\welch's_tropical_fruits.jpg,NaN,1,1
$1.75,0.203033,2,0
..\..\JOCN-master\task a\images\austin_lemon ohs_lemon cookies.jpg,0.203033,1,0
..\..\JOCN-master\task a\images\nabisco_nutter butter_cookies and crackers.jpg,0.797276,1,0
$0.5,NaN,2,1
..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg,0.203033,1,0
..\..\JOCN-master\task a\images\basil_vanilla.jpg,0.797276,1,0
..\..\JOCN-master\task a\images\keebler_chips delux_cookies_crackers.jpg,0.203033,1,0
..\..\JOCN-master\task a\images\pringles_the original_potato crisps.jpg,0.797276,1,0
$1.75,0.203033,2,0
..\..\JOCN-master\task a\images\larabar_apple_pie_bar.jpg,NaN,2,1
..\..\JOCN-master\task a\images\nestle_butterfinger_bar.jpg,NaN,1,1
..\..\JOCN-master\task a\images\kitkat_crisp wafers_milk choc.jpg,0.797276,2,0
$1.25,0.203033,2,1
..\..\JOCN-master\task a\images\nabisco_nutter butter_cookies and crackers.jpg,0.797276,1,0
$1.25,0.203033,2,0
..\..\JOCN-master\task a\images\nestle_crunch_bar.jpg,0.797276,1,0
..\..\JOCN-master\task a\images\austin_lemon ohs_lemon cookies.jpg,0.797276,2,0
..\..\JOCN-master\task a\images\austin_vanilla creme_vanilla cookies.jpg,-0.391210,1,1
$1.25,0.797276,2,0
$1.75,0.797276,2,0
..\..\JOCN-master\task a\images\doritos_cool ranch_chips.jpg,NaN,2,1
..\..\JOCN-master\task a\images\sun chips_original_chips.jpg,0.797276,2,0
..\..\JOCN-master\task a\images\pringles_cheddar_potato crisps.jpg,0.797276,1,0
..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg,0.203033,1,1
$1.5,NaN,1,1
$1.75,0.203033,2,0
$1.5,NaN,1,1
..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg,NaN,2,1
..\..\JOCN-master\task a\images\snickers_milk chocolate_candy bar.jpg,0.797276,1,1
..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg,0.797276,1,0
..\..\JOCN-master\task a\images\nabisco_ritz bits_cookies.jpg,NaN,2,1
$1.75,0.797276,2,0
..\..\JOCN-master\task a\images\kettle_salt_pepper.jpg,-0.391210,1,0
..\..\JOCN-master\task a\images\annie's_cheddar_bunnies.jpg,0.797276,2,0
..\..\JOCN-master\task a\images\cheez itz_original.jpg,0.797276,1,1
..\..\JOCN-master\task a\images\nabisco_nutter butter_cookies and crackers.jpg,0.797276,1,1
..\..\JOCN-master\task a\images\annie's_chocolate_chip_bunny_grahams.jpg,-2.173938,2,1
..\..\JOCN-master\task a\images\swedish fish_original_candy.jpg,NaN,2,1
..\..\JOCN-master\task a\images\nabisco_oreo_mini.jpg,0.797276,1,0
..\..\JOCN-master\task a\images\lance_choc-o_cookies.jpg,0.797276,1,0
..\..\JOCN-master\task a\images\nestle_babyruth_bar.jpg,NaN,1,1
..\..\JOCN-master\task a\images\grandma's_peanut butter_cookies.jpg,NaN,1,1
..\..\JOCN-master\task a\images\nabisco_teddy graham_honey.jpg,0.797276,1,0
$1.75,NaN,2,1
..\..\JOCN-master\task a\images\grandmas_chocolate chip_cookies.jpg,0.203033,2,0
$1.75,NaN,1,1
..\..\JOCN-master\task a\images\garden_veggie straws_zesty ranch.jpg,NaN,2,1
..\..\JOCN-master\task a\images\annie's_chocolate_chip_bunny_grahams.jpg,0.797276,2,0
..\..\JOCN-master\task a\images\belvita_banana_bread.jpg,-0.391210,2,0
$1.0,NaN,1,1
