snackName,rating,choseFor,pcResponse
$1.25,NaN,1,1
$1.0,0.783707,1,1
..\..\JOCN-master\task a\images\larabar_peanut_butter_cookie_bar.jpg,-0.770753,1,1
$0.5,NaN,2,1
$1.0,NaN,1,1
$1.75,0.006477,1,0
$0.75,NaN,2,1
$1.25,0.006477,2,1
$1.0,-0.770753,2,0
..\..\JOCN-master\task a\images\kettle_jalepeno.jpg,-0.770753,2,0
..\..\JOCN-master\task a\images\kitkat_crisp wafers_milk choc.jpg,NaN,2,1
$1.75,0.006477,2,0
$1.75,-2.325213,2,1
..\..\JOCN-master\task a\images\popchips_sea_salt.jpg,-1.547983,2,0
$1.25,0.006477,1,0
$1.75,0.006477,1,0
$1.75,0.006477,2,0
$1.75,0.006477,2,0
..\..\JOCN-master\task a\images\wheat_thins.jpg,-1.547983,1,0
$1.25,0.006477,1,0
..\..\JOCN-master\task a\images\pringles_sour cream and onion_potato crisps.jpg,0.006477,2,0
$1.75,0.783707,1,0
..\..\JOCN-master\task a\images\planters_salted_cashews.jpg,NaN,1,1
..\..\JOCN-master\task a\images\pringles_sour cream and onion_potato crisps.jpg,NaN,1,1
$1.75,0.783707,2,0
$1.75,NaN,1,1
..\..\JOCN-master\task a\images\kashi_chocolate almond _bars.jpg,-0.770753,2,0
$1.75,1.560937,1,1
$1.75,0.783707,2,0
..\..\JOCN-master\task a\images\kars_raisin_almond_cashew_mix.jpg,0.006477,1,0
$1.75,0.783707,2,0
$1.75,0.783707,2,0
$1.25,0.783707,2,0
$1.75,0.783707,1,0
$1.25,NaN,1,1
$1.75,0.783707,2,0
..\..\JOCN-master\task a\images\cheez itz_original.jpg,NaN,1,1
..\..\JOCN-master\task a\images\emerald_dark_chocolate_almonds.jpg,1.560937,1,0
..\..\JOCN-master\task a\images\barnum's_animal_crackers.jpg,-0.770753,2,0
..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,-1.547983,2,0
$1.75,-0.770753,1,0
..\..\JOCN-master\task a\images\emerald_dark_chocolate_almonds.jpg,0.783707,1,0
..\..\JOCN-master\task a\images\emerald_natural_almonds.jpg,1.560937,2,0
$0.75,NaN,2,1
..\..\JOCN-master\task a\images\oreo_thin_crisps.jpg,-2.325213,2,1
$1.25,0.783707,2,0
$1.75,1.560937,2,0
$1.5,0.783707,1,0
$1.75,1.560937,1,0
$1.5,0.783707,1,0
$1.75,0.783707,2,0
$1.75,1.560937,1,0
$0.5,NaN,2,1
$1.0,NaN,2,1
$0.5,NaN,2,1
$1.75,0.783707,2,0
..\..\JOCN-master\task a\images\doritos_cool ranch_chips.jpg,-1.547983,2,0
$1.75,0.783707,1,0
$1.25,NaN,1,1
$1.75,0.006477,2,0
..\..\JOCN-master\task a\images\larabar_peanut putter_bar.jpg,NaN,2,1
