snackName,rating,choseFor,pcResponse
$0.75,NaN,1,1
$1.25,NaN,2,1
..\..\JOCN-master\task a\images\kellogg's_rice krispies_orignal.jpg,-1.734200,1,1
$1.25,-3.567716,2,1
..\..\JOCN-master\task a\images\nestle_butterfinger_bar.jpg,1.016073,2,0
$0.75,NaN,1,1
..\..\JOCN-master\task a\images\haribo_gold_bears.jpg,NaN,1,1
$1.75,0.099315,1,0
..\..\JOCN-master\task a\images\pepperidge farms-goldish-cheddar.jpg,1.016073,2,0
$1.5,NaN,1,1
$1.75,NaN,2,1
..\..\JOCN-master\task a\images\garden_veggie straws_sea salt.jpg,1.016073,1,0
..\..\JOCN-master\task a\images\pringles_the original_potato crisps.jpg,0.099315,1,0
$1.5,-0.817442,2,0
..\..\JOCN-master\task a\images\haribo_gold_bears.jpg,-0.817442,2,0
..\..\JOCN-master\task a\images\quaker_chewy_dark choc chunk.jpg,NaN,2,1
..\..\JOCN-master\task a\images\combos_cheddar cheese_pretzel.jpg,1.016073,1,0
..\..\JOCN-master\task a\images\m&m's_peanut_butter.jpg,NaN,2,1
..\..\JOCN-master\task a\images\keebler_fudge_stripes.jpg,0.099315,1,0
..\..\JOCN-master\task a\images\cheez itz_original.jpg,1.016073,2,0
..\..\JOCN-master\task a\images\lance_van-o_cookies.jpg,NaN,1,1
..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,NaN,2,1
..\..\JOCN-master\task a\images\annie's_chocolate_bunny_grahams.jpg,-1.734200,1,0
$1.5,-0.817442,1,0
..\..\JOCN-master\task a\images\sunchips_harvest cheddar_chips.jpg,0.099315,1,0
$1.75,0.099315,2,0
$1.0,NaN,1,1
..\..\JOCN-master\task a\images\fig_newtons.jpg,-2.650958,2,1
..\..\JOCN-master\task a\images\fritos_original_corn chips.jpg,-0.817442,1,0
$0.5,NaN,1,1
$1.25,0.099315,1,0
..\..\JOCN-master\task a\images\nabisco_mini_ritz.jpg,0.099315,2,0
..\..\JOCN-master\task a\images\starburst_favereds_candy.jpg,NaN,2,1
..\..\JOCN-master\task a\images\lance_toasty_with_pb.jpg,0.099315,1,0
$1.25,NaN,2,1
..\..\JOCN-master\task a\images\nature_valley_sweet_and_salty.jpg,NaN,1,1
..\..\JOCN-master\task a\images\kind_almond_butter.jpg,NaN,1,1
..\..\JOCN-master\task a\images\skinny_pop_popcorn.jpg,0.099315,2,0
..\..\JOCN-master\task a\images\twix_milk chocolate_cookie bars.jpg,1.016073,2,0
..\..\JOCN-master\task a\images\belvita_blueberry.JPG,NaN,2,1
..\..\JOCN-master\task a\images\nabisco_nutter butter_bites.jpg,1.016073,1,0
$1.5,NaN,1,1
$0.5,NaN,2,1
..\..\JOCN-master\task a\images\doritos_nacho cheesier_chips.jpg,1.016073,2,0
..\..\JOCN-master\task a\images\kettle_original.jpg,1.016073,1,0
$1.25,NaN,1,1
$1.5,NaN,1,1
..\..\JOCN-master\task a\images\hersheys_milk choc_almond.jpg,NaN,1,1
