snack_name,preRatingMean,youRatingMean,partnerRatingMean
3 musketeers_candy bar,0.527517,0.585355,0.465758
annie's_cheddar_bunnies,-0.110208,NaN,0.797276
annie's_chocolate_bunny_grahams,-0.136683,-0.510301,-0.008197
annie's_chocolate_chip_bunny_grahams,0.098774,-0.318418,0.028776
annie's_honey_bunny_grahams,0.103390,-0.199539,0.368846
austin_cheddar cheese_cheese cracker,-0.141328,-2.528786,-0.753650
austin_choco creme_choc cookies,-0.417275,-0.008197,NaN
austin_lemon ohs_lemon cookies,-0.566669,0.203033,-0.097280
austin_peanut butter_cheese cracker,0.220768,0.143698,-0.158924
austin_peanut_butter,0.015387,0.099315,0.526847
austin_vanilla creme_vanilla cookies,-0.411293,NaN,NaN
baked_cheetos_crunchy,0.003272,0.235007,-1.537443
baked_lays_barbeque,0.257213,0.587738,-0.548398
baked_lays_classic,0.327656,0.034324,0.057159
baked_lays_sour cream and onion,0.097059,0.693840,0.148454
baked_ruffles_cheddar &sour,0.000323,0.599076,-0.317682
barnum's_animal_crackers,0.278876,-0.447646,0.159168
basil_vanilla,-0.517200,0.797276,-0.817442
basils_duplex_sandwich_cremes,-0.669817,NaN,NaN
basils_lemon,-0.651443,NaN,NaN
basils_peanut_butter,-0.458587,0.203033,NaN
belvita_banana_bread,-0.465249,1.097457,-1.062705
belvita_blueberry,0.108714,0.772985,0.576220
belvita_golden_oats,0.058444,0.975442,-1.234960
black_forest_gummies,-0.089427,0.660290,0.774612
boulder_kettle_hickory_bbq,-0.357592,0.526847,NaN
boulder_kettle_olive_oil,-0.432560,1.291470,1.291470
boulder_kettle_sea_salt,-0.414648,-0.037632,NaN
brookside_fruit and nut_bar,-0.376703,NaN,NaN
cascadian_farm_granola,-0.377382,-1.106260,-0.680845
cheetos_crunchy_chips,0.574602,0.448581,-0.256580
cheez itz_original,0.654459,0.521903,0.065631
cheez-it_white_cheddar,0.143458,0.646813,-0.035464
chex mix_original_traditional,0.335117,-0.329171,0.225241
chips_ahoy_thin_crisps,-0.022013,-1.553049,-0.155110
clif_z_bar,-0.397990,-0.590938,-0.153970
cliff_chocolate chip_bar,-0.279442,-0.991836,-0.362659
cloverhill_cheese_danish,-0.738950,0.106493,-0.697603
combos_cheddar cheese_pretzel,-0.071419,0.103223,0.008956
ct_crunch_cereal_bar,0.101026,0.367557,0.143300
doritos_cool ranch_chips,0.246537,0.079740,-0.466683
doritos_nacho cheesier_chips,0.243394,1.016073,-0.643205
eatrageous_bbq,-0.688343,NaN,NaN
eatrageous_mac_n_cheese,-0.636031,NaN,NaN
eatrageous_sea_salt,-0.595479,-1.166589,NaN
eatrageous_wasabi_ranch,-0.722992,NaN,NaN
emerald_cashews,-0.321774,-0.153970,NaN
emerald_dark_chocolate_almonds,-0.342454,0.413404,NaN
emerald_natural_almonds,0.289744,-1.166589,1.001491
emerald_sriracha_cashews,-0.626188,NaN,-1.957095
famous_amos_chocolate_chip,0.684956,0.482967,0.491588
fiber one_chocolate fudge_ brownie,0.086791,-1.581587,NaN
fiber one_cinamon_coffee cake,-0.246208,-0.991836,NaN
fiber one_lemon_ bar,-0.506555,-1.564482,NaN
fiber one_oats and choc_chewy bar,-0.355025,NaN,NaN
fig_newtons,-0.401199,-0.048926,-1.283206
fritos_original_corn chips,-0.151478,0.176794,-0.999680
garden_veggie straws_cheddar,0.169262,0.729911,0.845317
garden_veggie straws_sea salt,0.315030,0.227570,-0.099976
garden_veggie straws_zesty ranch,0.096958,0.572358,0.427500
grandma's_peanut butter_cookies,-0.384872,-0.770753,0.106493
grandmas_chocolate brownie_cookie,0.222664,-1.345998,-0.049710
grandmas_chocolate chip_cookies,0.283408,0.189185,-0.071745
grandmas_oatmeal raisin_cookies,-0.281388,0.253450,-0.538989
grandmas_vanilla sandwhich creme_cookies,-0.153369,0.555662,0.327489
haribo_gold_bears,0.652404,0.558642,-0.399370
hersey_milk_chocolate,1.043293,0.225988,0.312596
hersheys_milk choc_almond,0.187317,-0.691901,-0.239734
homefree_chocolatechip_minicookies,-0.313945,NaN,NaN
